l3,;2,l1,e,success rate
0.8,0.1,0.1,0,0.36231884057971014
0.7,0.2,0.1,0,0.36231884057971014
0.6,0.3,0.1,0,0.36231884057971014
0.5,0.4,0.1,0,0.36231884057971014
0.4,0.5,0.1,0,0.36231884057971014
0.3,0.6,0.1,0,0.36231884057971014
0.2,0.7,0.1,0,0.36231884057971014
0.1,0.8,0.1,0,0.36231884057971014
0.2,0.1,0.7,0,0.36231884057971014
0.1,0.3,0.6,0,0.36231884057971014
0.3,0.1,0.6,0,0.36231884057971014
0,0.9,0.01,0,0.36231884057971014
0.9,0,0.1,0,0.36231884057971014
0.8,0.1,0.1,0.05,0.7681159420289855
0.7,0.2,0.1,0.05,0.7608695652173914
0.6,0.3,0.1,0.05,0.7463768115942029
0.5,0.4,0.1,0.05,0.7536231884057971
0.4,0.5,0.1,0.05,0.7318840579710145
0.3,0.6,0.1,0.05,0.7391304347826086
0.2,0.7,0.1,0.05,0.717391304347826
0.1,0.8,0.1,0.05,0.6666666666666666
0.2,0.1,0.7,0.05,0.6884057971014492
0.1,0.3,0.6,0.05,0.6521739130434783
0.3,0.1,0.6,0.05,0.6956521739130435
0,0.9,0.01,0.05,0.7391304347826086
0.9,0,0.1,0.05,0.782608695652174
0.8,0.1,0.1,0.005,0.7898550724637681
0.7,0.2,0.1,0.005,0.7898550724637681
0.6,0.3,0.1,0.005,0.7971014492753623
0.5,0.4,0.1,0.005,0.7971014492753623
0.4,0.5,0.1,0.005,0.782608695652174
0.3,0.6,0.1,0.005,0.782608695652174
0.2,0.7,0.1,0.005,0.7753623188405797
0.1,0.8,0.1,0.005,0.7608695652173914
0.2,0.1,0.7,0.005,0.7246376811594203
0.1,0.3,0.6,0.005,0.717391304347826
0.3,0.1,0.6,0.005,0.7536231884057971
0,0.9,0.01,0.005,0.8115942028985508
0.9,0,0.1,0.005,0.782608695652174
